"","X","SubjectID","TrialNumber","StartingPositionIndex","ImageNumber","ImageName","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","Angle","TriggerPressedFreq","CancelPressedFreq","PhotoToCenterFreq","ParticipantPosition_x","ParticipantPosition_y","ParticipantPosition_z","ParticipantPosition_x.1","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y.1","PointerPosition_x","PointerPosition_y","PointerPosition_z","ParticipantPosition_z.1","PointerRotation_x","PointerRotation_y","PointerRotation_z","PointerDirection_x","PointerDirection_y","PointerDirection_z","ParticipantRotation_x.1","ParticipantRotation_y.1","TargetBuildingPosition_x","TargetBuildingPosition_y","TargetBuildingPosition_z","ParticipantRotation_z.1","TargetBuildingRotation_x","TargetBuildingRotation_y","TargetBuildingRotation_z","TargetBuildingDirection_x","TargetBuildingDirection_y","TargetBuildingDirection_z","PointerPosition_x.1","PointerPosition_y.1","PointerPosition_z.1","PointerRotation_x.1","PointerRotation_y.1","PointerRotation_z.1","PointerDirection_x.1","PointerDirection_y.1","PointerDirection_z.1","TargetBuildingName","TargetBuildingPosition_x.1","TargetBuildingPosition_y.1","TargetBuildingPosition_z.1","TargetBuildingRotation_x.1","TargetBuildingRotation_y.1","TargetBuildingRotation_z.1","TargetBuildingDirection_x.1","TargetBuildingDirection_y.1","TargetBuildingDirection_z.1","DistanceToParticipant","PointedDirections","TriggerPressedTimeStamps","CancelPressedTimeStamps","PhotoToCenterTimeStamps","PhotoReleasedTimeStamps","Condition","Task","RecalculatedAngle","SignedAngle"
"1880",1879,1083,32,5,3,"TaskBuilding_4","False","False","2021-11-19 09:27:22.712599808","2021-11-19 09:27:31.829598720",9.11699891090393,13.1202383041382,2,0,0,-177.311111450195,4.44702005386353,131.586791992188,-177.311111450195,349.816741943359,217.028442382812,357.795776367188,4.44702005386353,-177.213729858398,3.89188671112061,131.265045166016,131.586791992188,359.837799072266,151.768325805664,338.790679931641,0.473036080598831,0.002831004559993,-0.881038665771484,349.816741943359,217.028442382812,45.8665390014648,-4.68255615234375,-122.198310852051,357.795776367188,0,0,0,0,0,1,-177.213729858398,3.89188671112061,131.265045166016,359.837799072266,151.768325805664,338.790679931641,0.473036080598831,0.002831004559993,-0.881038665771484,"TaskBuilding_4",45.8665390014648,-4.68255615234375,-122.198310852051,0,0,0,0,0,1,338.164154052734,"[{'x': 0.473036080598831, 'y': 0.002831004559993, 'z': -0.881038665771484}]","[1637314051.4745495, 1637314051.8295987]","[]","[]","[]","Belt","PTB",13.0965986957006,13.0965986957006
"1881",1880,1083,33,5,4,"TaskBuilding_5","False","False","2021-11-19 09:27:32.096545792","2021-11-19 09:27:37.960756992",5.86421132087708,25.3616237640381,2,0,0,-177.222366333008,4.46930265426636,131.558746337891,-177.222366333008,356.03173828125,143.432800292969,0.181429207324981,4.46930265426636,-177.154281616211,3.93339967727661,131.318298339844,131.558746337891,359.143615722656,146.429046630859,336.804016113281,0.552907645702362,0.014946036040782,-0.83310854434967,356.03173828125,143.432800292969,-15.7201499938965,0.160140991210937,34.0602188110352,0.181429207324981,5.061773208e-06,70.2090911865234,-1.3139530892e-05,0.940934479236602,-8.83446062971416e-08,0.338588654994964,-177.154281616211,3.93339967727661,131.318298339844,359.143615722656,146.429046630859,336.804016113281,0.552907645702362,0.014946036040782,-0.83310854434967,"TaskBuilding_5",-15.7201499938965,0.160140991210937,34.0602188110352,5.061773208e-06,70.2090911865234,-1.3139530892e-05,0.940934479236602,-8.83446062971416e-08,0.338588654994964,188.84407043457,"[{'x': 0.5529076457023621, 'y': 0.014946036040782, 'z': -0.8331085443496701}]","[1637314057.5048282, 1637314057.960757]","[]","[]","[]","Belt","PTB",25.3097487334994,25.3097487334994
"1882",1881,1083,34,5,1,"TaskBuilding_2","False","False","2021-11-19 09:27:38.227003136","2021-11-19 09:27:55.163556352",16.9365532398224,20.3612689971924,2,0,0,-177.22624206543,4.47069501876831,131.588500976562,-177.22624206543,353.773773193359,142.292816162109,1.65947222709656,4.47069501876831,-176.975204467773,3.88511800765991,131.538070678711,131.588500976562,359.368835449219,95.0192565917969,357.803955078125,0.996105015277862,0.011015912517905,-0.087485395371913,353.773773193359,142.292816162109,197.395660400391,-2.95098876953125,234.249404907227,1.65947222709656,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,-176.975204467773,3.88511800765991,131.538070678711,359.368835449219,95.0192565917969,357.803955078125,0.996105015277862,0.011015912517905,-0.087485395371913,"TaskBuilding_2",197.395660400391,-2.95098876953125,234.249404907227,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,388.516052246094,"[{'x': 0.9961050152778621, 'y': 0.011015912517905001, 'z': -0.08748539537191301}]","[1637314074.8084798, 1637314075.1635563]","[]","[]","[]","Belt","PTB",20.3442982176406,20.3442982176406
"1883",1882,1083,35,5,2,"TaskBuilding_3","False","False","2021-11-19 09:27:55.430208512","2021-11-19 09:27:58.440576000",3.01036763191223,17.4981861114502,2,0,0,-177.235000610352,4.47028112411499,131.641967773438,-177.235000610352,351.245025634766,90.2544250488281,358.751251220703,4.47028112411499,-177.086166381836,3.8818564414978,131.383056640625,131.641967773438,0.809963643550872,125.763137817383,353.791900634766,0.811358869075775,-0.014136061072349,-0.584377348423004,351.245025634766,90.2544250488281,132.779266357422,-1.08327293395996,29.1151313781738,358.751251220703,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,-177.086166381836,3.8818564414978,131.383056640625,0.809963643550872,125.763137817383,353.791900634766,0.811358869075775,-0.014136061072349,-0.584377348423004,"TaskBuilding_3",132.779266357422,-1.08327293395996,29.1151313781738,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,326.657531738281,"[{'x': 0.811358869075775, 'y': -0.014136061072349002, 'z': -0.584377348423004}]","[1637314078.0072255, 1637314078.440576]","[]","[]","[]","Belt","PTB",17.4632360334993,17.4632360334993
"1884",1883,1083,36,7,4,"TaskBuilding_5","False","False","2021-11-19 09:27:59.583650560","2021-11-19 09:28:09.778852352",10.1952018737793,52.0001754760742,2,0,0,-292.020751953125,3.43666696548462,-96.0898895263672,-292.020751953125,352.736267089844,128.487319946289,358.587768554688,3.43666696548462,-291.826843261719,2.83776140213013,-96.2665557861328,-96.0898895263672,1.62429988384247,116.732116699219,356.430725097656,0.892760634422302,-0.028345583006739,-0.449638992547988,352.736267089844,128.487319946289,-15.7201499938965,0.160140991210937,34.0602188110352,358.587768554688,5.061773208e-06,70.2090911865234,-1.3139530892e-05,0.940934479236602,-8.83446062971416e-08,0.338588654994964,-291.826843261719,2.83776140213013,-96.2665557861328,1.62429988384247,116.732116699219,356.430725097656,0.892760634422302,-0.028345583006739,-0.449638992547988,"TaskBuilding_5",-15.7201499938965,0.160140991210937,34.0602188110352,5.061773208e-06,70.2090911865234,-1.3139530892e-05,0.940934479236602,-8.83446062971416e-08,0.338588654994964,305.414001464844,"[{'x': 0.892760634422302, 'y': -0.028345583006739002, 'z': -0.44963899254798806}]","[1637314089.4008634, 1637314089.7788525]","[]","[]","[]","Belt","PTB",51.954676771176,51.954676771176
"1885",1884,1083,37,7,1,"TaskBuilding_2","False","False","2021-11-19 09:28:10.045140736","2021-11-19 09:28:17.296733952",7.25159311294556,62.7560997009277,2,0,0,-291.999877929688,3.43947029113769,-96.0716247558594,-291.999877929688,348.511383056641,116.502113342285,358.98388671875,3.43947029113769,-292.029724121094,2.84310245513916,-95.7291717529297,-96.0716247558594,358.921936035156,353.255401611328,352.502746582031,-0.117422819137573,0.018814530223608,0.992903769016265,348.511383056641,116.502113342285,197.395660400391,-2.95098876953125,234.249404907227,358.98388671875,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,-292.029724121094,2.84310245513916,-95.7291717529297,358.921936035156,353.255401611328,352.502746582031,-0.117422819137573,0.018814530223608,0.992903769016265,"TaskBuilding_2",197.395660400391,-2.95098876953125,234.249404907227,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,590.452941894531,"[{'x': -0.117422819137573, 'y': 0.018814530223608003, 'z': 0.9929037690162651}]","[1637314096.853919, 1637314097.2967339]","[]","[]","[]","Belt","PTB",62.7269244999445,-62.7269244999445
"1886",1885,1083,38,7,5,"TaskBuilding_6","False","False","2021-11-19 09:28:17.564019712","2021-11-19 09:28:32.269488896",14.7054691314697,56.096435546875,2,0,0,-292.075317382812,3.42891883850098,-95.9931640625,-292.075317382812,356.084075927734,351.282592773438,1.25622403621673,3.42891883850098,-292.20654296875,2.89571809768677,-95.6805267333984,-95.9931640625,3.98014044761658,332.291259765625,353.310333251953,-0.463855564594268,-0.069410696625709,0.883187532424926,356.084075927734,351.282592773438,-166.058334350586,2.423095703125,137.745452880859,1.25622403621673,1.1109343176e-05,319.793121337891,1.0480455785e-05,-0.645549297332763,-1.93894578615073e-07,0.763718605041503,-292.20654296875,2.89571809768677,-95.6805267333984,3.98014044761658,332.291259765625,353.310333251953,-0.463855564594268,-0.069410696625709,0.883187532424926,"TaskBuilding_6",-166.058334350586,2.423095703125,137.745452880859,1.1109343176e-05,319.793121337891,1.0480455785e-05,-0.645549297332763,-1.93894578615073e-07,0.763718605041503,265.500762939453,"[{'x': -0.463855564594268, 'y': -0.069410696625709, 'z': 0.8831875324249261}]","[1637314111.7903116, 1637314112.2694888]","[]","[]","[]","Belt","PTB",56.0394538496209,-56.0394538496209
"1887",1886,1083,39,7,2,"TaskBuilding_3","False","False","2021-11-19 09:28:32.537709568","2021-11-19 09:28:39.610041600",7.07233214378357,38.8714027404785,2,0,0,-292.080322265625,3.43140363693237,-96.0567474365234,-292.080322265625,351.781677246094,337.548492431641,354.157104492188,3.43140363693237,-291.792053222656,2.92117357254028,-95.8070068359375,-96.0567474365234,358.892700195312,34.7330665588379,343.610656738281,0.569647550582885,0.019324764609336,0.82166188955307,351.781677246094,337.548492431641,132.779266357422,-1.08327293395996,29.1151313781738,354.157104492188,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,-291.792053222656,2.92117357254028,-95.8070068359375,358.892700195312,34.7330665588379,343.610656738281,0.569647550582885,0.019324764609336,0.82166188955307,"TaskBuilding_3",132.779266357422,-1.08327293395996,29.1151313781738,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,442.891479492188,"[{'x': 0.5696475505828851, 'y': 0.019324764609336003, 'z': 0.8216618895530701}]","[1637314119.1990187, 1637314119.6100416]","[]","[]","[]","Belt","PTB",38.8509348772136,-38.8509348772136
"1888",1887,1083,40,7,6,"TaskBuilding_7","False","False","2021-11-19 09:28:39.877384448","2021-11-19 09:28:45.942381056",6.06499671936035,157.357330322266,2,0,0,-292.060546875,3.43761014938354,-95.9937438964844,-292.060546875,348.295989990234,35.8573036193848,356.21826171875,3.43761014938354,-292.073486328125,2.89764881134033,-95.7627258300781,-95.9937438964844,0.243878528475761,330.61474609375,354.513458251953,-0.490675091743469,-0.004256470128893,0.871332228183746,348.295989990234,35.8573036193848,-192.461410522461,-0.946640014648437,-173.510040283203,356.21826171875,-6.027028575e-06,27.4618644714355,-4.10935263e-06,0.461158126592636,1.05191489296885e-07,0.887317955493927,-292.073486328125,2.89764881134033,-95.7627258300781,0.243878528475761,330.61474609375,354.513458251953,-0.490675091743469,-0.004256470128893,0.871332228183746,"TaskBuilding_7",-192.461410522461,-0.946640014648437,-173.510040283203,-6.027028575e-06,27.4618644714355,-4.10935263e-06,0.461158126592636,1.05191489296885e-07,0.887317955493927,126.288917541504,"[{'x': -0.490675091743469, 'y': -0.0042564701288930005, 'z': 0.8713322281837461}]","[1637314125.5534215, 1637314125.9423811]","[]","[]","[]","Belt","PTB",157.278264065297,-157.278264065297
"1889",1888,1083,41,7,0,"TaskBuilding_1","False","False","2021-11-19 09:28:46.205645824","2021-11-19 09:28:53.948168704",7.7425229549408,44.767505645752,2,0,0,-292.085815429688,3.43914079666138,-96.0250244140625,-292.085815429688,349.331237792969,332.487976074219,1.94052743911743,3.43914079666138,-291.773742675781,2.88818168640137,-95.8545989990234,-96.0250244140625,359.242919921875,37.230712890625,353.800964355469,0.604973196983337,0.013212990015745,0.796136200428009,349.331237792969,332.487976074219,255.062286376953,-1.66304397583008,-18.9844818115234,1.94052743911743,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,-291.773742675781,2.88818168640137,-95.8545989990234,359.242919921875,37.230712890625,353.800964355469,0.604973196983337,0.013212990015745,0.796136200428009,"TaskBuilding_1",255.062286376953,-1.66304397583008,-18.9844818115234,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,552.538879394531,"[{'x': 0.6049731969833371, 'y': 0.013212990015745002, 'z': 0.796136200428009}]","[1637314133.5592086, 1637314133.9481688]","[]","[]","[]","Belt","PTB",44.7545107349855,-44.7545107349855
